"Own health
",Household/Family health,Vulnerable people’s health,Canadian population’s health,World population’s health,Overloading health system,Civil disorder,Maintaining social ties,Cooperation and support during crisis,"Cooperation and support after crisis
","
Family stress from confinement","
Violence in the home",Gender,Job loss,Meeting financial obligations,PPROV,VERDATE
Somewhat,Somewhat,Extremely,Very,Very,Extremely,Somewhat,Very,Very,Extremely,Somewhat,Not at all,Female,Agree,Major impact,ON,MAR
Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Very,Somewhat,Not at all,Female,Disagree,No impact,BC,MAR
Very,Very,Very,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Male,Strongly disagree,No impact,ON,MAR
Very,Very,Extremely,Very,Somewhat,Very,Very,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Not working at a job or business,Major impact,ON,MAR
Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Somewhat,Not at all,Extremely,Not at all,Female,Not working at a job or business,Major impact,AB,MAR
Somewhat,Not at all,Somewhat,Very,Very,Very,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Male,Disagree,Too soon to tell,ON,MAR
Somewhat,Very,Extremely,Very,Very,Extremely,Somewhat,Very,Extremely,Extremely,Very,Somewhat,Male,Strongly agree,Major impact,BC,MAR
Not at all,Extremely,Very,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Very,Male,Strongly disagree,No impact,QC,SEPT
Extremely,Extremely,Extremely,Very,Very,Extremely,Extremely,Somewhat,Somewhat,Very,Very,Not at all,Female,Strongly agree,Too soon to tell,ON,SEPT
Somewhat,Very,Very,Extremely,Extremely,Extremely,Extremely,Somewhat,Extremely,Somewhat,Somewhat,Not at all,Female,Disagree,Minor impact,ON,SEPT
Very,Very,Extremely,Very,Very,Extremely,Somewhat,Not at all,Very,Somewhat,Not at all,Not at all,Female,Strongly agree,Major impact,BC,SEPT
Somewhat,Very,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Very,Very,Female,Strongly disagree,No impact,NS,SEPT
Not at all,Somewhat,Extremely,Somewhat,Somewhat,Extremely,Extremely,Somewhat,Very,Very,Not at all,Not at all,Female,Not working at a job or business,Major impact,ON,SEPT
Extremely,Extremely,Extremely,Very,Very,Extremely,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly agree,Moderate impact,ON,SEPT
Very,Not at all,Very,Very,Very,Very,Somewhat,Very,Very,Very,Not at all,Somewhat,Female,Strongly disagree,No impact,QC,SEPT
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Female,Not working at a job or business,No impact,MB,SEPT
Somewhat,Very,Extremely,Very,Extremely,Extremely,Very,Very,Very,Very,Extremely,Very,Male,Agree,Moderate impact,BC,SEPT
Not at all,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Female,Not working at a job or business,Minor impact,ON,SEPT
Somewhat,Somewhat,Extremely,Very,Very,Extremely,Very,Very,Very,Very,Extremely,Not at all,Female,Agree,Too soon to tell,AB,SEPT
Somewhat,Very,Very,Very,Very,Extremely,Very,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Agree,Moderate impact,BC,SEPT
Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Not working at a job or business,Minor impact,ON,SEPT
Very,Extremely,Extremely,Very,Very,Very,Somewhat,Very,Very,Somewhat,Somewhat,Not at all,Female,Disagree,No impact,QC,SEPT
Not at all,Not at all,Very,Not at all,Not at all,Very,Not at all,Not at all,Not at all,Not at all,Somewhat,Not at all,Female,Strongly disagree,No impact,QC,SEPT
Very,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,Very,Very,Very,Not at all,Female,Neither agree nor disagree,Minor impact,BC,SEPT
Very,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Very,Very,Extremely,Somewhat,Not at all,Female,Strongly agree,Moderate impact,AB,SEPT
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Very,Very,Very,Not at all,Female,Strongly disagree,Moderate impact,ON,SEPT
Very,Very,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Very,Extremely,Very,Not at all,Male,Strongly agree,Major impact,ON,SEPT
Somewhat,Somewhat,Very,Very,Very,Very,Not at all,Very,Extremely,Extremely,Extremely,Not at all,Female,Strongly agree,Major impact,ON,SEPT
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Extremely,Extremely,Extremely,Extremely,Not at all,Female,Neither agree nor disagree,Minor impact,NS,SEPT
Very,Very,Extremely,Very,Very,Extremely,Extremely,Somewhat,Very,Extremely,Very,Not at all,Female,Strongly disagree,Too soon to tell,ON,SEPT
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Female,Not working at a job or business,Minor impact,ON,SEPT
Very,Very,Very,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Extremely,Male,Neither agree nor disagree,Too soon to tell,ON,SEPT
Somewhat,Very,Extremely,Somewhat,Somewhat,Very,Somewhat,Very,Extremely,Extremely,Very,Not at all,Female,Disagree,Moderate impact,ON,SEPT
Somewhat,Very,Very,Very,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,Strongly disagree,No impact,BC,SEPT
Somewhat,Extremely,Extremely,Very,Extremely,Extremely,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Very,Female,Agree,Major impact,ON,SEPT
Somewhat,Somewhat,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Neither agree nor disagree,Too soon to tell,ON,SEPT
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Agree,Minor impact,ON,SEPT
Somewhat,Extremely,Very,Very,Somewhat,Very,Very,Very,Very,Very,Somewhat,Not at all,Male,Disagree,Moderate impact,BC,SEPT
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Not at all,Extremely,Extremely,Extremely,Not at all,Male,Strongly agree,Major impact,NS,SEPT
Very,Very,Very,Very,Very,Extremely,Extremely,Somewhat,Somewhat,Very,Very,Not at all,Female,Neither agree nor disagree,Moderate impact,ON,SEPT
Somewhat,Very,Extremely,Somewhat,Somewhat,Very,Not at all,Somewhat,Very,Somewhat,Very,Not at all,Male,Not working at a job or business,No impact,AB,SEPT
Very,Very,Extremely,Very,Very,Extremely,Very,Very,Very,Somewhat,Very,Not at all,Female,Agree,Moderate impact,ON,SEPT
Somewhat,Very,Extremely,Very,Very,Extremely,Very,Not at all,Very,Somewhat,Somewhat,Not at all,Female,Strongly disagree,No impact,AB,SEPT
Somewhat,Somewhat,Extremely,Extremely,Very,Extremely,Somewhat,Not at all,Somewhat,Very,Very,Somewhat,Female,Strongly disagree,No impact,ON,SEPT
Somewhat,Very,Very,Very,Very,Very,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Female,Disagree,Minor impact,ON,SEPT
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Female,Strongly disagree,Too soon to tell,ON,SEPT
Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Very,Somewhat,Very,Female,Disagree,Moderate impact,ON,SEPT
Somewhat,Somewhat,Very,Extremely,Extremely,Very,Somewhat,Not at all,Somewhat,Not at all,Somewhat,Not at all,Male,Strongly disagree,Minor impact,ON,SEPT
Extremely,Extremely,Extremely,Very,Very,Extremely,Very,Not at all,Very,Very,Not at all,Not at all,Female,Strongly disagree,No impact,MB,NOV
Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Very,Somewhat,Not at all,Female,Neither agree nor disagree,Minor impact,AB,NOV
Somewhat,Not at all,Very,Extremely,Extremely,Extremely,Very,Somewhat,Very,Very,Somewhat,Not at all,Female,Not working at a job or business,Moderate impact,BC,NOV
