"Own health
",Household/Family health,Vulnerable people’s health,Canadian population’s health,World population’s health,Overloading health system,Civil disorder,Maintaining social ties,Cooperation and support during crisis,"Cooperation and support after crisis
","
Family stress from confinement","
Violence in the home",Gender,Job loss,Meeting financial obligations,PPROV,VERDATE
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Not at all,Extremely,Very,Somewhat,Not at all,Not at all,Female,Strongly disagree,Minor impact,ON,NOV
Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Extremely,Not at all,Somewhat,Very,Somewhat,Not at all,Male,Agree,Too soon to tell,ON,NOV
Very,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Female,Not working at a job or business,Moderate impact,ON,NOV
Very,Very,Extremely,Very,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Not working at a job or business,No impact,BC,NOV
Very,Somewhat,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Extremely,Extremely,Somewhat,Not at all,Female,Not working at a job or business,Too soon to tell,ON,NOV
Somewhat,Very,Extremely,Very,Very,Extremely,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Female,Strongly disagree,No impact,ON,NOV
Somewhat,Extremely,Extremely,Somewhat,Somewhat,Very,Not at all,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Male,Strongly disagree,No impact,BC,NOV
Somewhat,Somewhat,Somewhat,Very,Very,Very,Very,Extremely,Extremely,Extremely,Very,Not at all,Male,Neither agree nor disagree,Minor impact,ON,APRIL
Somewhat,Somewhat,Extremely,Very,Extremely,Very,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Female,Strongly disagree,No impact,BC,APRIL
Very,Very,Extremely,Extremely,Very,Extremely,Extremely,Not at all,Somewhat,Somewhat,Very,Not at all,Female,Strongly disagree,No impact,ON,APRIL
Not at all,Somewhat,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Extremely,Extremely,Extremely,Not at all,Male,Agree,Moderate impact,AB,APRIL
Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Extremely,Female,Not working at a job or business,No impact,ON,APRIL
Very,Extremely,Extremely,Somewhat,Somewhat,Very,Very,Somewhat,Very,Somewhat,Extremely,Not at all,Female,Neither agree nor disagree,Major impact,ON,APRIL
Extremely,Very,Somewhat,Somewhat,Somewhat,Very,Extremely,Not at all,Somewhat,Somewhat,Not at all,Not at all,Female,Strongly disagree,Major impact,ON,APRIL
Somewhat,Very,Extremely,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Male,Strongly disagree,Too soon to tell,AB,APRIL
Somewhat,Very,Extremely,Very,Very,Extremely,Somewhat,Not at all,Not at all,Somewhat,Somewhat,Not at all,Male,Strongly disagree,No impact,AB,APRIL
Somewhat,Extremely,Extremely,Somewhat,Somewhat,Very,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Female,Disagree,No impact,BC,MAY
Somewhat,Very,Extremely,Very,Very,Extremely,Somewhat,Very,Somewhat,Somewhat,Very,Not at all,Male,Agree,Minor impact,ON,MAY
Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Very,Very,Not at all,Female,Agree,Moderate impact,ON,MAY
Extremely,Somewhat,Extremely,Very,Very,Somewhat,Not at all,Not at all,Not at all,Somewhat,Not at all,Not at all,Female,Neither agree nor disagree,No impact,ON,MAY
Extremely,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Agree,Major impact,BC,MAY
Extremely,Extremely,Very,Somewhat,Somewhat,Extremely,Not at all,Not at all,Somewhat,Very,Not at all,Not at all,Female,Strongly disagree,No impact,BC,MAY
Somewhat,Somewhat,Somewhat,Very,Very,Very,Not at all,Not at all,Somewhat,Not at all,Not at all,Not at all,Female,Disagree,Moderate impact,ON,MAY
Somewhat,Somewhat,Very,Somewhat,Somewhat,Extremely,Somewhat,9,Somewhat,Somewhat,Somewhat,Not at all,Male,Strongly agree,Moderate impact,ON,MAY
Very,Very,Very,Very,Somewhat,Somewhat,Not at all,Not at all,Somewhat,Very,Somewhat,Not at all,Female,Strongly agree,Major impact,AB,MAY
Very,Very,Extremely,Very,Very,Very,Somewhat,Not at all,Somewhat,Not at all,Not at all,Not at all,Female,Strongly agree,Major impact,QC,MAY
Very,Very,Extremely,Extremely,Extremely,Extremely,Somewhat,Very,Very,Very,Very,Not at all,Female,Neither agree nor disagree,Moderate impact,ON,MAY
Somewhat,Very,Somewhat,Somewhat,Somewhat,Very,Very,Not at all,Not at all,Somewhat,Not at all,Not at all,Female,Neither agree nor disagree,Too soon to tell,BC,MAY
Very,Extremely,Extremely,Very,Very,Very,Very,Somewhat,Very,Somewhat,Somewhat,Not at all,Male,Strongly disagree,Minor impact,ON,MAY
Very,Extremely,Extremely,Very,Very,Extremely,Very,Somewhat,Very,Very,Very,Somewhat,Female,Disagree,No impact,BC,MAY
Somewhat,Somewhat,Very,Somewhat,Very,Very,Somewhat,Very,Very,Very,Somewhat,Not at all,Female,Not working at a job or business,Too soon to tell,ON,MAY
Very,Very,Extremely,Very,Extremely,Extremely,Not at all,Very,Very,Very,Somewhat,Not at all,Male,Not working at a job or business,No impact,ON,APRIL
Not at all,Not at all,Very,Somewhat,Somewhat,Very,Somewhat,Not at all,Extremely,Extremely,Very,Not at all,Female,Strongly agree,Moderate impact,AB,APRIL
Somewhat,Extremely,Extremely,Very,Very,Very,Somewhat,Very,Very,Somewhat,Extremely,Not at all,Female,Disagree,Moderate impact,BC,APRIL
Somewhat,Somewhat,Very,Very,Very,Extremely,Somewhat,Very,Very,Somewhat,Very,Not at all,Female,Disagree,Major impact,SK,APRIL
Not at all,Somewhat,Very,Not at all,Somewhat,Extremely,Very,Not at all,Not at all,Not at all,Somewhat,Not at all,Female,Not working at a job or business,Major impact,ON,APRIL
Somewhat,Somewhat,Extremely,Extremely,Somewhat,Extremely,Extremely,Somewhat,Somewhat,Very,Extremely,Not at all,Male,Strongly agree,Moderate impact,MB,APRIL
Somewhat,Somewhat,Somewhat,Very,Very,Very,Not at all,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Female,Not working at a job or business,No impact,ON,APRIL
Somewhat,Very,Somewhat,Somewhat,Somewhat,Very,Extremely,Very,Somewhat,Very,Somewhat,Somewhat,Female,Not working at a job or business,Minor impact,QC,APRIL
Not at all,Not at all,Very,Somewhat,Somewhat,Very,Not at all,Very,Somewhat,Not at all,Somewhat,Not at all,Female,Disagree,Too soon to tell,ON,APRIL
Somewhat,Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,Not at all,Not at all,Not at all,Not at all,Not at all,Male,Strongly agree,Too soon to tell,BC,APRIL
Somewhat,Very,Extremely,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Very,Somewhat,Not at all,Female,Strongly disagree,No impact,AB,APRIL
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Not at all,Not at all,Not at all,Somewhat,Not at all,Not at all,Male,Strongly disagree,No impact,ON,APRIL
Very,Somewhat,Very,Very,Very,Extremely,Somewhat,Somewhat,Very,Very,Somewhat,Not at all,Female,Neither agree nor disagree,Too soon to tell,NS,APRIL
Very,Somewhat,Very,Somewhat,Extremely,Extremely,Not at all,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Strongly agree,Major impact,BC,APRIL
Very,Very,Extremely,Very,Very,Very,Extremely,Somewhat,Extremely,Extremely,Extremely,Not at all,Female,Agree,Too soon to tell,ON,APRIL
Not at all,Very,Very,Very,Very,Very,Somewhat,Very,Very,Very,Somewhat,Not at all,Female,Strongly agree,Major impact,ON,APRIL
Somewhat,Very,Extremely,Somewhat,Very,Extremely,Very,Extremely,Extremely,Very,Somewhat,Somewhat,Male,Strongly disagree,No impact,QC,APRIL
Somewhat,Very,Very,Extremely,Somewhat,Extremely,Very,Very,Very,Somewhat,Somewhat,Not at all,Male,Strongly disagree,No impact,ON,APRIL
Somewhat,Somewhat,Very,Somewhat,Very,Somewhat,Not at all,Not at all,Somewhat,Very,Very,Not at all,Female,Not working at a job or business,Moderate impact,MB,APRIL
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Extremely,Not at all,Very,Somewhat,Not at all,Not at all,Female,Disagree,Minor impact,QC,APRIL
Somewhat,Not at all,Very,Extremely,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Very,Very,Not at all,Female,Not working at a job or business,Major impact,ON,APRIL
Very,Very,Very,Very,Very,Very,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Not at all,Female,Strongly disagree,No impact,NS,APRIL
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Disagree,No impact,NL,APRIL
Somewhat,Very,Very,Very,Very,Somewhat,Somewhat,Very,Extremely,Somewhat,Somewhat,Somewhat,Male,Neither agree nor disagree,Minor impact,MB,APRIL
Somewhat,Somewhat,Somewhat,Very,Very,Very,Very,Somewhat,Somewhat,Very,Very,Somewhat,Female,Strongly disagree,Minor impact,ON,APRIL
Very,Extremely,Very,Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Somewhat,Very,Not at all,Very,Male,Strongly disagree,Moderate impact,QC,APRIL
Extremely,Not at all,Extremely,Very,Very,Very,Somewhat,Very,Very,Very,Not at all,Not at all,Female,Disagree,Too soon to tell,BC,APRIL
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Male,Strongly agree,Moderate impact,ON,APRIL
Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Female,Strongly agree,Major impact,BC,APRIL
Very,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Female,Strongly agree,Moderate impact,ON,APRIL
Somewhat,Very,Extremely,Very,Very,Extremely,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly agree,Moderate impact,ON,APRIL
Somewhat,Somewhat,Somewhat,Very,Somewhat,Somewhat,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Disagree,No impact,NS,APRIL
Somewhat,Extremely,Extremely,Somewhat,Somewhat,Extremely,Extremely,Somewhat,Somewhat,Very,Somewhat,Not at all,Female,Strongly agree,Moderate impact,MB,APRIL
Somewhat,Very,Extremely,Very,Very,Extremely,Somewhat,Very,Very,Very,Very,Not at all,Female,Not working at a job or business,No impact,NU,APRIL
Not at all,Not at all,Somewhat,Somewhat,Somewhat,Very,Not at all,Not at all,Not at all,Not at all,Somewhat,Not at all,Female,Agree,No impact,NU,APRIL
Somewhat,Somewhat,Extremely,Very,Extremely,Somewhat,Not at all,Extremely,Extremely,Extremely,Extremely,Not at all,Female,Agree,No impact,BC,APRIL
Somewhat,Somewhat,Extremely,Extremely,Very,Extremely,Very,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,No impact,ON,APRIL
Very,Very,Very,Very,Very,Extremely,Somewhat,Very,Very,Somewhat,Very,Very,Female,Strongly disagree,Moderate impact,SK,APRIL
Somewhat,Somewhat,Very,Very,Somewhat,Extremely,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly disagree,Moderate impact,ON,APRIL
Very,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,Extremely,Somewhat,Not at all,Female,Neither agree nor disagree,Minor impact,ON,APRIL
Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Very,Somewhat,Somewhat,Very,Not at all,Female,Agree,Major impact,MB,APRIL
Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Very,Very,Somewhat,Very,Very,Somewhat,Female,Agree,Too soon to tell,ON,APRIL
Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Very,Not at all,Female,Strongly disagree,Minor impact,ON,APRIL
Very,Not at all,Very,Very,Very,Extremely,Very,Very,Very,Very,Very,Not at all,Female,Not working at a job or business,No impact,NS,APRIL
Somewhat,Somewhat,Very,Very,Extremely,Extremely,Somewhat,Somewhat,Extremely,Extremely,Not at all,Not at all,Female,Strongly agree,Major impact,PE,APRIL
Somewhat,Somewhat,Not at all,Very,Somewhat,Very,Somewhat,Very,Somewhat,Somewhat,Very,Not at all,Female,Strongly agree,Major impact,AB,APRIL
Somewhat,Very,Very,Somewhat,Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly agree,Major impact,ON,APRIL
Extremely,Very,Extremely,Somewhat,Somewhat,Very,Extremely,Somewhat,Extremely,Extremely,Very,Somewhat,Female,Strongly agree,Major impact,SK,APRIL
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Very,Somewhat,Very,Somewhat,Not at all,Female,Not working at a job or business,No impact,BC,APRIL
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Not at all,Somewhat,Somewhat,Very,Somewhat,Not at all,Female,Strongly agree,Major impact,AB,APRIL
Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,Very,Extremely,Extremely,Extremely,Not at all,Male,Strongly disagree,Major impact,ON,APRIL
Somewhat,Extremely,Extremely,Extremely,Somewhat,Very,Extremely,Somewhat,Very,Very,Somewhat,Not at all,Female,Strongly disagree,Moderate impact,ON,APRIL
Somewhat,Somewhat,Extremely,Extremely,Extremely,Very,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly agree,Major impact,ON,APRIL
Somewhat,Very,Very,Somewhat,Somewhat,Very,Very,Not at all,Somewhat,Very,Very,Not at all,Male,Strongly agree,Major impact,NS,APRIL
Somewhat,Very,Very,Very,Very,Extremely,Somewhat,Extremely,Extremely,Extremely,Somewhat,Somewhat,Male,Agree,Major impact,QC,APRIL
Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,Not at all,Somewhat,Not at all,Somewhat,Not at all,Not at all,Female,Strongly disagree,Minor impact,AB,APRIL
Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Extremely,Extremely,Not at all,Not at all,Female,Strongly agree,Major impact,ON,MAY
Not at all,Not at all,Very,Somewhat,Somewhat,Very,Somewhat,Very,Very,Somewhat,Somewhat,Not at all,Female,Strongly agree,Major impact,ON,MAY
Not at all,Extremely,Extremely,Somewhat,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Very,Somewhat,Female,Agree,Too soon to tell,ON,MAY
Extremely,Extremely,Extremely,Extremely,Very,Extremely,Very,Very,Very,Very,Extremely,Somewhat,Female,Not working at a job or business,Too soon to tell,BC,MAY
Very,Very,Extremely,Extremely,Very,Extremely,Somewhat,Somewhat,Somewhat,Very,Very,Not at all,Female,Strongly agree,Major impact,BC,MAY
Somewhat,Somewhat,Very,Very,Very,Very,Somewhat,Very,Very,Very,Somewhat,Not at all,Female,Disagree,Too soon to tell,ON,MAY
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Very,Very,Somewhat,Somewhat,Male,Strongly disagree,Minor impact,ON,MAY
Somewhat,Very,Extremely,Somewhat,Somewhat,Extremely,Very,Somewhat,Very,Somewhat,Very,Somewhat,Male,Agree,Minor impact,BC,MAY
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Somewhat,Not at all,Male,Strongly disagree,No impact,ON,MAY
Not at all,Somewhat,Very,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,Strongly disagree,No impact,ON,MAY
Very,Extremely,Extremely,Very,Very,Very,Somewhat,Very,Very,Very,Somewhat,Not at all,Female,Agree,Too soon to tell,ON,MAY
Somewhat,Somewhat,Very,Somewhat,Very,Extremely,Somewhat,Somewhat,Very,Very,Very,Very,Female,Strongly agree,Major impact,BC,MAY
Somewhat,Somewhat,Very,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Male,Not working at a job or business,No impact,ON,MAY
Very,Extremely,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Extremely,Not at all,Female,Strongly disagree,Moderate impact,ON,MAY
Extremely,Extremely,Extremely,Very,Very,Very,Somewhat,Extremely,Extremely,Very,Very,Not at all,Female,Not working at a job or business,Too soon to tell,BC,MAY
Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Disagree,Moderate impact,BC,MAY
Very,Very,Extremely,Extremely,Very,Extremely,Very,Not at all,Very,Very,Somewhat,Somewhat,Female,Strongly disagree,No impact,BC,MAY
Somewhat,Extremely,Extremely,Very,Somewhat,Extremely,Somewhat,Somewhat,Very,Very,Somewhat,Not at all,Female,Strongly disagree,No impact,ON,MAY
Very,Very,Very,Very,Very,Extremely,Extremely,Somewhat,Somewhat,Very,Not at all,Not at all,Male,Strongly disagree,No impact,ON,MAY
Very,Very,Extremely,Very,Extremely,Extremely,Somewhat,Somewhat,Very,Very,Very,Not at all,Female,Neither agree nor disagree,No impact,ON,MAY
Very,Extremely,Very,Somewhat,Somewhat,Somewhat,Very,Very,Very,Somewhat,Very,Not at all,Female,Neither agree nor disagree,Moderate impact,ON,MAY
Very,Very,Extremely,Extremely,Very,Extremely,Extremely,Not at all,Extremely,Extremely,Somewhat,Not at all,Female,Strongly agree,No impact,NS,MAY
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Very,Very,Not at all,Female,Strongly agree,Major impact,NB,MAY
Not at all,Very,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Male,Strongly disagree,No impact,ON,MAY
Somewhat,Extremely,Very,Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly agree,Major impact,ON,MAY
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Extremely,Somewhat,Very,Extremely,Extremely,Not at all,Female,Strongly agree,Major impact,AB,MAY
Somewhat,Very,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Very,Very,Very,Somewhat,Female,Strongly disagree,Minor impact,ON,MAY
Somewhat,Very,Very,Very,Very,Extremely,Very,Somewhat,Very,Somewhat,Extremely,Not at all,Female,Not working at a job or business,Minor impact,NB,MAY
Not at all,Not at all,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Very,Very,Very,Not at all,Female,Strongly disagree,No impact,ON,MAY
Somewhat,Somewhat,Extremely,Very,Very,Extremely,Not at all,Not at all,Somewhat,Not at all,Not at all,Not at all,Female,Not working at a job or business,Major impact,BC,MAY
Not at all,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Male,Strongly agree,No impact,BC,MAY
Somewhat,Somewhat,Very,Somewhat,Somewhat,Somewhat,Very,Extremely,Extremely,Very,Somewhat,Not at all,Male,Disagree,Moderate impact,BC,MAY
Extremely,Somewhat,Extremely,Extremely,Extremely,Extremely,Extremely,Not at all,Not at all,Not at all,Somewhat,Not at all,Female,Strongly agree,Moderate impact,BC,MAY
Somewhat,Very,Very,Very,Very,Very,Very,Very,Very,Very,Very,Not at all,Female,Strongly agree,Major impact,ON,MAY
Somewhat,Somewhat,Very,Very,Very,Extremely,Somewhat,Very,Very,Very,Somewhat,Not at all,Female,Not working at a job or business,No impact,ON,MAY
Very,Very,Extremely,Extremely,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Disagree,Moderate impact,NS,MAY
Very,Very,Extremely,Very,Very,Extremely,Very,Very,Very,Very,Somewhat,Not at all,Female,Agree,Moderate impact,NS,MAY
Somewhat,Somewhat,Extremely,Very,Very,Extremely,Very,Very,Very,Very,Extremely,Very,Female,Neither agree nor disagree,Too soon to tell,ON,MAY
Very,Very,Very,Very,Very,Very,Somewhat,Very,Very,Very,Somewhat,Not at all,Female,Not working at a job or business,No impact,BC,MAY
Somewhat,Very,Extremely,Very,Very,Extremely,Somewhat,Extremely,Very,Very,Extremely,Not at all,Female,Strongly disagree,No impact,ON,MAY
Very,Very,Very,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Somewhat,Not at all,Not at all,Not at all,Female,Neither agree nor disagree,Moderate impact,ON,MAY
Not at all,Extremely,Very,Somewhat,Somewhat,Very,Somewhat,Somewhat,Not at all,Not at all,Very,Very,Male,Strongly disagree,Moderate impact,QC,MAY
Somewhat,Very,Extremely,Very,Very,Very,Somewhat,Very,Somewhat,Somewhat,Very,Not at all,Female,Strongly agree,Moderate impact,ON,MAY
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Extremely,Extremely,Extremely,Not at all,Female,Strongly disagree,Too soon to tell,MB,MAY
Somewhat,Very,Extremely,Very,Very,Extremely,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Agree,Minor impact,AB,MAY
Very,Very,Extremely,Extremely,Extremely,Extremely,Not at all,Somewhat,Extremely,Extremely,Somewhat,Not at all,Female,Strongly disagree,No impact,QC,MAY
Somewhat,Somewhat,Extremely,Extremely,Extremely,Not at all,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Female,Strongly disagree,Minor impact,ON,MAY
Somewhat,Extremely,Very,Very,Very,Very,Not at all,Not at all,Somewhat,Not at all,Somewhat,Not at all,Male,Disagree,No impact,QC,MAY
Somewhat,Somewhat,Somewhat,Very,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Female,Not working at a job or business,Too soon to tell,NS,MAY
Somewhat,Somewhat,Very,Very,Extremely,Very,Somewhat,Not at all,Somewhat,Somewhat,Extremely,Not at all,Female,Strongly disagree,No impact,QC,MAY
Not at all,Not at all,Extremely,Very,Very,Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Extremely,Extremely,Female,Strongly disagree,No impact,QC,MAY
Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat,Somewhat,Extremely,Somewhat,Somewhat,Extremely,Very,Female,Agree,Too soon to tell,BC,MAY
Somewhat,Very,Very,Somewhat,Very,Extremely,Extremely,Very,Very,Extremely,Very,Very,Female,Disagree,No impact,ON,MAY
Somewhat,Somewhat,Extremely,Somewhat,Not at all,Extremely,Very,Somewhat,Somewhat,Somewhat,Very,Not at all,Female,Strongly agree,Major impact,AB,MAY
Somewhat,Very,Extremely,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Male,Disagree,No impact,ON,MAY
Somewhat,Somewhat,Somewhat,Extremely,Very,Extremely,Not at all,Very,Somewhat,Very,Very,Not at all,Female,Not working at a job or business,Minor impact,QC,MAY
Extremely,Very,Somewhat,Very,Very,Very,Not at all,Not at all,Not at all,Somewhat,Very,Not at all,Female,Not working at a job or business,No impact,ON,MAY
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Not at all,Female,Not working at a job or business,Moderate impact,ON,MAY
Not at all,Not at all,Somewhat,Very,Very,Somewhat,Not at all,Not at all,Not at all,Not at all,Somewhat,Somewhat,Male,Strongly disagree,No impact,QC,MAY
Somewhat,Somewhat,Very,Very,Very,Very,Very,Somewhat,Somewhat,Very,Very,Not at all,Female,Strongly agree,Major impact,AB,MAY
Somewhat,Very,Very,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Not at all,Not at all,Somewhat,Very,Male,Strongly disagree,Too soon to tell,QC,MAY
Very,Very,Very,Very,Very,Very,Somewhat,Somewhat,Very,Very,Not at all,Not at all,Female,Disagree,Major impact,ON,MAY
Somewhat,Not at all,Extremely,Very,Very,Extremely,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Strongly agree,Moderate impact,BC,MAY
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,Very,Not at all,Very,Extremely,Female,Strongly agree,Major impact,MB,MAY
Very,Somewhat,Extremely,Very,Very,Extremely,Not at all,Very,Extremely,Extremely,Very,Not at all,Female,Strongly agree,Major impact,BC,MAY
Extremely,Very,Very,Very,Somewhat,Very,Very,Extremely,Very,Very,Extremely,Somewhat,Male,Disagree,Minor impact,ON,MAY
Somewhat,Extremely,Very,Somewhat,Somewhat,Very,Not at all,Somewhat,Somewhat,Somewhat,Very,Somewhat,Male,Neither agree nor disagree,Minor impact,ON,MAY
Somewhat,Very,Extremely,Somewhat,Somewhat,Extremely,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Male,Disagree,No impact,ON,MAY
Somewhat,Not at all,Extremely,Very,Very,Somewhat,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Very,Female,Not working at a job or business,Moderate impact,NS,MAY
Somewhat,Somewhat,Somewhat,Very,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Agree,Minor impact,MB,MAY
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Somewhat,Very,Somewhat,Somewhat,Very,Not at all,Female,Neither agree nor disagree,Minor impact,BC,MAY
Extremely,Extremely,Extremely,Extremely,Extremely,Very,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Male,Disagree,Minor impact,NS,MAY
Somewhat,Somewhat,Extremely,Extremely,Extremely,Extremely,Not at all,Very,Somewhat,Very,Extremely,Extremely,Female,Strongly disagree,No impact,ON,MAY
Somewhat,Somewhat,Very,Very,Extremely,Extremely,Somewhat,Somewhat,Somewhat,Somewhat,Very,Not at all,Male,Disagree,No impact,ON,MAY
Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,Not at all,Not at all,Not at all,Not at all,Very,Not at all,Female,Strongly disagree,Minor impact,MB,MAY
Somewhat,Very,Very,Very,Somewhat,Somewhat,Not at all,Not at all,Somewhat,Somewhat,Very,Not at all,Female,Agree,Moderate impact,ON,MAY
Very,Extremely,Extremely,Very,Very,Extremely,Somewhat,Very,Very,Very,Somewhat,Not at all,Female,Disagree,Minor impact,AB,MAY
Somewhat,Very,Extremely,Somewhat,Somewhat,Very,Somewhat,Very,Very,Extremely,Somewhat,Not at all,Female,Strongly disagree,Moderate impact,NS,MAY
Somewhat,Very,Extremely,Very,Very,Extremely,Somewhat,Not at all,Somewhat,Very,Not at all,Not at all,Female,Not working at a job or business,No impact,ON,MAY
Very,Very,Extremely,Very,Very,Extremely,Somewhat,Not at all,Somewhat,Very,Not at all,Not at all,Female,Strongly agree,Major impact,ON,MAY
Very,Very,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Male,Neither agree nor disagree,Moderate impact,QC,MAY
Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Female,Agree,Moderate impact,ON,MAY
Somewhat,Somewhat,Extremely,Very,Very,Extremely,Somewhat,Somewhat,Not at all,Not at all,Not at all,Not at all,Female,Agree,Major impact,BC,MAY
Somewhat,Somewhat,Extremely,Very,Extremely,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Very,Not at all,Male,Disagree,No impact,BC,MAY
Extremely,Extremely,Extremely,Extremely,Very,Extremely,Extremely,Very,Very,Very,Somewhat,Not at all,Female,Not working at a job or business,Too soon to tell,ON,MAY
Somewhat,Very,Extremely,Somewhat,Somewhat,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Female,Not working at a job or business,Moderate impact,NS,MAY
